연번,음식이름정보,에너지(칼로리)정보,단백질,칼슘,비타민(A),비타민(B1),비타민(B2),그외 영양소 1,그외 영양소 2,그외 영양소 3
266,회냉면,490,1.13,200.56,0.12,0.21,3.11,6.14,73.65,1.75
267,메밀국수(일식),304.61,1.63,44.91,0.26,0.11,1.51,7.45,66.68,0.21
268,열무김치냉면,403.07,1.34,304.46,0.08,0.16,2.72,17.04,59.3,0.25
269,고기만두,424.54,2.26,17.02,0.41,0.17,4.4,7.33,38.97,1.81
270,군만두,468.74,2.26,17.02,0.41,0.17,4.4,7.33,38.97,6.96
271,김치만두,401.24,2.06,48.52,0.38,0.17,4.12,12.93,66.66,1.71
272,김치만두국,253.47,1.06,117.35,0.27,0.18,1.88,8.69,40,1.37
273,떡만두국,526.52,1.83,113.28,0.28,0.23,3.88,2.86,22.1,1.29
274,만두국,382.88,1.77,115.5,0.36,0.23,2.51,3.42,22.93,1.84
275,만두탕수,421.41,1.29,92.71,0.33,0.14,1.53,2.93,12.53,6.72
276,물만두,462.28,2.48,94.67,0.45,0.26,4.58,9.33,55.96,2.1
277,비빔만두,340.05,1.22,129.87,0.33,0.15,1.5,3.75,11.8,1.85
278,찐만두,495.6,1.96,139.64,0.41,0.19,3.88,9.33,48.31,1.53
279,튀김만두,473.75,2.09,15.42,0.36,0.16,3.86,9.83,38.13,9.15
280,감자죽,197,1.17,133.1,0.12,0.06,2,13.7,16.73,0.01
281,고기죽,255.53,1.46,7.5,0.08,0.07,2.28,1.11,4.16,0.91
282,깨죽,261.3,1.37,0,0.19,0.08,2.76,0,29.52,0.3
283,단팥죽,380,2.89,0.8,0.24,0.09,1.23,1.7,217.86,0.51
284,닭죽,240.5,1.24,2.6,0.11,0.07,6.35,1.4,4.61,0.01
285,버섯죽,223.92,1.47,0.6,0.16,0.19,3.11,1.3,10.03,0.88
286,새우죽,229.2,1.38,1.7,0.06,0.07,2.17,0.6,3.12,0.41
287,수수죽,211.8,0.85,0,0.07,0.02,1.54,0,14.8,0.51
288,야채죽,200.7,1.18,194.8,0.12,0.1,1.9,14.2,34.94,0.51
289,잣죽,269.65,1.4,0,0.14,0.04,1.24,0,11.64,2.22
290,전복죽,249.55,1.15,1.79,0.11,0.05,1.15,0,5.14,1.98
291,"죽,율무죽",138.6,0.57,0,0.03,0.03,0,0,9.77,0
292,"죽,흰죽",216,0.63,0,0.06,0,0,0,3,0
293,"죽,흰죽,인스턴트",235.2,0.72,306,0.12,0.06,4.44,1.8,3.42,0.6
294,팥죽,301.8,4.22,0,0.34,0.12,2.05,0,339.05,0.81
295,호박죽,297.7,1.24,24.5,0.15,0.14,2.27,0,60.66,10.06
296,"스프,쇠고기스프",24,1.29,0,0,0.03,0.3,0,4.8,0
297,"스프,콩소메",21,2.73,59.7,6.42,0.15,2.7,0,74.7,3
298,"스프,크림스프,아스파라거스",72,0,3,0.03,0.06,0.6,0,0,0
299,"스프,쇠고기야채스프",63,0.33,21,0.03,0.03,0.6,0,9,0
300,"스프,양송이스프",114,0.09,0,0.33,0.12,0.6,0,4.2,0
301,감자국,76.2,0.77,9.86,0.08,0.06,1.97,16.24,11.38,0.02
302,감자당면국,69.49,0.32,3.61,0.05,0.02,0.8,13.41,8.91,0.02
303,감자미역국,56.76,0.48,3.01,0.05,0.06,1.2,9.25,48.98,1.05
304,감자수제비국,182.58,0.69,18.61,0.15,0.07,1.62,11.54,27.35,1
305,감자어묵국,90.61,0.4,6.94,0.05,0.03,1.07,9.63,15.32,0.63
306,감자호박국,49.76,0.44,30.76,0.07,0.07,1.18,12.74,24.26,0.63
307,건새우미역국,58.24,0.96,3.01,0.03,0.06,1,0.79,54.47,1.36
308,경단미역국,106.64,0.59,1.81,0.03,0.04,0.5,0.51,34.33,0.93
309,계란국,54.63,0.34,52.81,0.04,0.08,0.39,1.25,3.27,0.44
310,계란파국,80.05,0.4,58.81,0.05,0.09,0.6,3.29,5.84,1.08
311,김당면국,84.27,0.44,180.91,0.07,0.18,0.92,5.61,61.08,0.32
312,김치국,21.75,0.18,32.68,0.04,0.04,1,9.12,29.26,0.19
313,김치무국,24.52,0.19,21.32,0.04,0.03,0.87,9.04,18.89,0.24
314,김치수제비국,89.7,0.37,37.8,0.09,0.07,0.94,8.65,34.23,0.34
315,김치콩나물국,34.22,0.41,25.22,0.08,0.08,1.2,10.98,23.52,0.69
316,다시멸치미역국,28.48,0.38,3.01,0.02,0.06,1.26,0.79,55.17,0.74
317,당면국,140.81,0.9,48.01,0.05,0.07,1.88,6.36,6.22,0.61
318,대구국,81.33,0.52,98.76,0.11,0.16,1.64,9.84,33.03,1.16
319,대합미역국,40.33,0.54,3.02,0.02,0.09,1.93,0.88,56.63,0.53
320,대합찜국,78.15,0.75,39.52,0.06,0.1,3.15,9.39,17.73,0.87
321,동태국,72.01,0.34,134.54,0.11,0.11,1.38,7.19,17.45,0.93
322,두부계란탕,135.87,1.06,78.19,0.09,0.16,0.8,2.73,56.85,1.34
323,두부김치국,56.6,0.59,30.46,0.06,0.06,1.3,8.14,31.71,0.71
324,두부어묵새우젓국,85.9,0.68,6.47,0.05,0.04,0.72,2.03,12.1,0.86
325,떡국,439.18,1.27,74.51,0.08,0.14,3.88,1.9,17.42,0.56
326,떡어묵국,130.11,0.37,12.86,0.03,0.05,1.15,5.04,73.12,0.81
327,모시조개국,39.99,1.22,8.78,0.03,0.12,1.13,1.04,12,1.27
328,무국,77.37,0.7,18.16,0.06,0.08,1.55,12.7,63.84,0.34
329,무새우젓국,54.61,0.53,36.81,0.04,0.04,1.1,6.25,12.24,0.65
330,무채어묵국,84.46,0.33,10.01,0.03,0.03,1.16,8.79,7.82,0.73
331,미역국,94.26,0.8,7.02,0.04,0.1,1.53,1.42,65.03,1.9
332,버섯국,33.55,0.53,37.99,0.14,0.26,3.19,10.87,48.52,0.06
333,북어계란국,153.83,0.35,40.06,0.11,0.12,1.67,5.64,7.8,2.1
334,북어국,147.78,0.38,21.61,0.1,0.1,1.67,1.29,7.93,2.2
335,북어콩나물국,128.31,0.32,3.88,0.11,0.1,1.8,3.92,6.62,2.3
